order_id,order_date,customer_id,customer_name,customer_segment,region,city,category,subcategory,product_name,sales_person,quantity,unit_price,discount,sales,profit,payment_method,year,month_number,month_name,year_month,quarter,profit_margin,discount_amount,sales_band
ORD-10011,2024-08-02,CUST-1295,Customer 1224,Consumer,Southern,Hambantota,Home & Living,Appliances,Iron,Kasun Silva,2,30479.75,0.15,51815.57,12579.31,Cash,2024,8,August,2024-08,Q3,0.24277085053778236,9143.925,High
ORD-10012,2024-11-26,CUST-1326,Customer 1414,Consumer,Sabaragamuwa,Kegalle,Groceries,Snacks,Biscuits,Ishara Madushan,5,1484.07,0.1,6678.3,1119.3,Bank Transfer,2024,11,November,2024-11,Q4,0.1676025335789048,742.035,Low
ORD-10013,2025-04-03,CUST-1352,Customer 1242,Consumer,Central,Nuwara Eliya,Groceries,Snacks,Mixed Nuts,Tharushi Fernando,7,3254.95,0.15,19366.98,1260.07,Card,2025,4,April,2025-04,Q2,0.06506280277048873,3417.6974999999998,Medium
ORD-10014,2024-03-28,CUST-1306,Customer 1270,Small Business,Central,Nuwara Eliya,Fashion,Kids,Kids Shorts,Dilan Jayasinghe,4,2331.49,0.0,9325.96,2002.95,Bank Transfer,2024,3,March,2024-03,Q1,0.2147714551638652,0.0,Low
ORD-10015,2025-01-07,CUST-1079,Customer 1416,Consumer,Central,Kandy,Groceries,Beverages,Tea Pack,Kasun Silva,7,3851.75,0.0,26962.25,1939.2,Card,2025,1,January,2025-01,Q1,0.07192278092518244,0.0,Medium
ORD-10016,2024-04-09,CUST-1271,Customer 1375,Small Business,Sabaragamuwa,Kegalle,Electronics,Laptops,ASUS VivoBook,Dilan Jayasinghe,3,64521.82,0.15,164530.64,11239.78,Bank Transfer,2024,4,April,2024-04,Q2,0.06831420579169935,29034.819,Premium
ORD-10017,2025-10-25,CUST-1236,Customer 1440,Small Business,Eastern,Batticaloa,Electronics,Accessories,USB-C Hub,Tharushi Fernando,5,156285.9,0.1,703286.56,71793.29,Cash,2025,10,October,2025-10,Q4,0.10208255650442116,78142.95,Premium
ORD-10018,2024-05-10,CUST-1058,Customer 1380,Small Business,Southern,Matara,Home & Living,Furniture,Office Chair,Sachini Perera,4,77581.01,0.1,279291.64,46034.98,Bank Transfer,2024,5,May,2024-05,Q2,0.16482763322239077,31032.404,Premium
ORD-10019,2025-10-23,CUST-1072,Customer 1060,Small Business,Eastern,Batticaloa,Electronics,Accessories,USB-C Hub,Ishara Madushan,6,59830.56,0.05,341034.18,85678.16,Card,2025,10,October,2025-10,Q4,0.2512304191914136,17949.168,Premium
ORD-10020,2024-11-04,CUST-1428,Customer 1181,Small Business,Central,Matale,Home & Living,Appliances,Standing Fan,Tharushi Fernando,6,10475.49,0.05,59710.28,3108.38,Digital Wallet,2024,11,November,2024-11,Q4,0.05205770262675037,3142.6470000000004,High
ORD-10021,2024-12-09,CUST-1009,Customer 1166,Consumer,Western,Colombo,Fashion,Women,Floral Dress,Kasun Silva,4,8963.23,0.1,32267.64,6573.11,Cash,2024,12,December,2024-12,Q4,0.20370594192819802,3585.292,Medium
ORD-10022,2025-05-06,CUST-1277,Customer 1274,Consumer,Western,Kalutara,Groceries,Beverages,Coffee Jar,Sachini Perera,1,3053.75,0.05,2901.07,842.98,Digital Wallet,2025,5,May,2025-05,Q2,0.29057554626396465,152.6875,Low
ORD-10023,2025-02-17,CUST-1392,Customer 1267,Consumer,Eastern,Batticaloa,Fashion,Kids,Kids Shorts,Ishara Madushan,6,11280.35,0.1,60913.86,14499.5,Card,2025,2,February,2025-02,Q1,0.2380328549200461,6768.210000000001,High
ORD-10024,2025-01-20,CUST-1161,Customer 1202,Corporate,North Western,Puttalam,Groceries,Household,Tissue Pack,Ishara Madushan,6,2961.8,0.0,17770.78,3157.95,Digital Wallet,2025,1,January,2025-01,Q1,0.1777046364875374,0.0,Medium
ORD-10025,2024-07-10,CUST-1194,Customer 1166,Consumer,Western,Colombo,Home & Living,Kitchen,Electric Kettle,Ishara Madushan,2,45452.35,0.0,90904.71,7400.58,Card,2024,7,July,2024-07,Q3,0.0814103031625094,0.0,High
ORD-10026,2024-10-03,CUST-1123,Customer 1390,Consumer,Eastern,Batticaloa,Electronics,Mobile Phones,Galaxy A15,Nimal Perera,7,53778.69,0.1,338805.74700000003,96346.94,Cash,2024,10,October,2024-10,Q4,0.28437221284797154,37645.083000000006,Premium
ORD-10027,2024-06-09,CUST-1318,Customer 1111,Corporate,Sabaragamuwa,Kegalle,Electronics,Accessories,Mechanical Keyboard,Sachini Perera,1,206732.15,0.15,175722.33,36028.35,Digital Wallet,2024,6,June,2024-06,Q2,0.20503000387031062,31009.8225,Premium
ORD-10028,2025-04-04,CUST-1188,Customer 1362,Consumer,Central,Nuwara Eliya,Home & Living,Appliances,Water Heater,Dilan Jayasinghe,3,57187.25,0.1,154405.57,28436.67,Digital Wallet,2025,4,April,2025-04,Q2,0.18416867992521252,17156.175,Premium
ORD-10029,2024-11-09,CUST-1356,Customer 1173,Corporate,Central,Kandy,Electronics,Accessories,Bluetooth Speaker,Dilan Jayasinghe,6,28979.04,0.15,147793.08,13182.03,Digital Wallet,2024,11,November,2024-11,Q4,0.0891924709871396,26081.136,High
ORD-10030,2024-01-22,CUST-1361,Customer 1059,Consumer,Northern,Vavuniya,Electronics,Accessories,Wireless Mouse,Dilan Jayasinghe,5,176257.29,0.1,793157.8,71706.77,Bank Transfer,2024,1,January,2024-01,Q1,0.09040668830338679,88128.64500000002,Premium
ORD-10031,2024-09-09,CUST-1213,Customer 1159,Small Business,Sabaragamuwa,Ratnapura,Home & Living,Kitchen,Blender,Dilan Jayasinghe,3,36067.43,0.0,108202.29,27908.81,Card,2024,9,September,2024-09,Q3,0.25793178684111034,0.0,High
ORD-10032,2025-07-14,CUST-1096,Customer 1105,Consumer,Northern,Jaffna,Fashion,Women,Floral Dress,Dilan Jayasinghe,2,7011.71,0.2,11218.73,607.41,Cash,2025,7,July,2025-07,Q3,0.05414249206460981,2804.684,Medium
ORD-10033,2025-04-19,CUST-1186,Customer 1246,Consumer,Western,Kalutara,Electronics,Mobile Phones,Redmi Note 13,Dilan Jayasinghe,4,18114.04,0.1,65210.56,12025.92,Digital Wallet,2025,4,April,2025-04,Q2,0.18441675704057747,7245.616000000001,High
ORD-10034,2024-02-28,CUST-1087,Customer 1298,Corporate,Northern,Jaffna,Groceries,Beverages,Coffee Jar,Nimal Perera,5,3732.29,0.0,18661.43,3753.19,Digital Wallet,2024,2,February,2024-02,Q1,0.20112017139093843,0.0,Medium
ORD-10035,2025-05-25,CUST-1014,Customer 1231,Consumer,Southern,Matara,Fashion,Women,Ladies Watch,Kasun Silva,4,8138.92,0.05,30927.91,2635.85,Bank Transfer,2025,5,May,2025-05,Q2,0.08522561013660476,1627.784,Medium
ORD-10036,2025-11-12,CUST-1449,Customer 1424,Consumer,Central,Kandy,Electronics,Accessories,USB-C Hub,Nimal Perera,1,149825.23,0.05,142333.96,38201.83,Digital Wallet,2025,11,November,2025-11,Q4,0.2683957503887337,7491.2615000000005,High
ORD-10037,2025-04-20,CUST-1266,Customer 1332,Consumer,Eastern,Ampara,Home & Living,Kitchen,Rice Cooker,Nimal Perera,4,82525.33,0.0,330101.3,31873.19,Cash,2025,4,April,2025-04,Q2,0.09655578454250256,0.0,Premium
ORD-10038,2025-11-30,CUST-1107,Customer 1421,Small Business,North Western,Kurunegala,Groceries,Beverages,Coffee Jar,Ishara Madushan,6,4755.77,0.0,28534.63,4105.02,Cash,2025,11,November,2025-11,Q4,0.14386098575660522,0.0,Medium
ORD-10039,2024-07-08,CUST-1445,Customer 1404,Corporate,Eastern,Batticaloa,Groceries,Household,Tissue Pack,Kasun Silva,7,4076.93,0.1,25684.68,6749.58,Bank Transfer,2024,7,July,2024-07,Q3,0.262786221202678,2853.851,Medium
ORD-10040,2025-11-17,CUST-1059,Customer 1325,Corporate,Central,Matale,Groceries,Beverages,Fruit Juice,Tharushi Fernando,2,495.56,0.1,892.01,109.03,Cash,2025,11,November,2025-11,Q4,0.1222295714173608,99.11200000000001,Low
ORD-10041,2025-07-16,CUST-1306,Customer 1285,Small Business,Western,Gampaha,Electronics,Mobile Phones,Redmi Note 13,Tharushi Fernando,1,117504.84,0.2,94003.87,4043.51,Card,2025,7,July,2025-07,Q3,0.043014292922195656,23500.968,High
ORD-10042,2025-07-20,CUST-1308,Customer 1336,Consumer,Southern,Galle,Home & Living,Furniture,Bookshelf,Dilan Jayasinghe,1,23846.42,0.05,22654.09,2318.75,Bank Transfer,2025,7,July,2025-07,Q3,0.10235458586065474,1192.321,Medium
ORD-10043,2024-08-31,CUST-1086,Customer 1175,Small Business,Eastern,Ampara,Electronics,Accessories,USB-C Hub,Nimal Perera,2,53985.52,0.1,97173.93,13886.09,Card,2024,8,August,2024-08,Q3,0.14289933524351645,10797.104,High
ORD-10044,2025-05-19,CUST-1369,Customer 1076,Corporate,Southern,Galle,Electronics,Accessories,Mechanical Keyboard,Tharushi Fernando,2,149619.53,0.0,299239.06,68288.94,Card,2025,5,May,2025-05,Q2,0.22820864361758122,0.0,Premium
ORD-10045,2024-05-10,CUST-1090,Customer 1446,Small Business,North Western,Puttalam,Home & Living,Appliances,Iron,Dilan Jayasinghe,3,59541.19,0.1,160761.22,22603.16,Bank Transfer,2024,5,May,2024-05,Q2,0.14060082400469467,17862.357,Premium
ORD-10046,2025-04-29,CUST-1159,Customer 1324,Corporate,Sabaragamuwa,Ratnapura,Electronics,Accessories,Bluetooth Speaker,Nimal Perera,4,45131.79,0.2,144421.72,34937.76,Cash,2025,4,April,2025-04,Q2,0.24191485878993826,36105.432,High
ORD-10047,2025-10-08,CUST-1331,Customer 1129,Small Business,Southern,Galle,Fashion,Men,Leather Belt,Sachini Perera,2,12415.57,0.1,22348.02,5320.97,Digital Wallet,2025,10,October,2025-10,Q4,0.23809581340986807,2483.114,Medium
ORD-10048,2024-01-21,CUST-1417,Customer 1305,Small Business,Eastern,Batticaloa,Electronics,Mobile Phones,Redmi Note 13,Nimal Perera,6,125253.73,0.05,713946.27,155255.09,Bank Transfer,2024,1,January,2024-01,Q1,0.21746046799852317,37576.119,Premium
ORD-10049,2024-06-15,CUST-1085,Customer 1282,Consumer,Eastern,Ampara,Home & Living,Furniture,Study Desk,Tharushi Fernando,1,4202.7,0.1,3782.43,858.76,Bank Transfer,2024,6,June,2024-06,Q2,0.22703923139357504,420.27,Low
ORD-10050,2024-09-30,CUST-1271,Customer 1043,Small Business,Sabaragamuwa,Ratnapura,Fashion,Men,Denim Jeans,Nimal Perera,2,6932.96,0.05,13172.63,2453.98,Bank Transfer,2024,9,September,2024-09,Q3,0.18629385323963402,693.296,Medium
ORD-10051,2025-01-22,CUST-1124,Customer 1399,Consumer,Sabaragamuwa,Kegalle,Home & Living,Kitchen,Blender,Dilan Jayasinghe,7,61886.09,0.0,433202.65,24157.48,Cash,2025,1,January,2025-01,Q1,0.055764848160554874,0.0,Premium
ORD-10052,2025-08-23,CUST-1373,Customer 1052,Corporate,Central,Nuwara Eliya,Fashion,Women,Floral Dress,Kasun Silva,1,4512.19,0.0,4512.19,414.67,Cash,2025,8,August,2025-08,Q3,0.0918999421566911,0.0,Low
ORD-10053,2024-11-11,CUST-1132,Customer 1090,Corporate,Northern,Jaffna,Groceries,Beverages,Coffee Jar,Tharushi Fernando,6,1728.71,0.1,9335.04,2115.77,Bank Transfer,2024,11,November,2024-11,Q4,0.22664819861511035,1037.226,Low
ORD-10054,2024-01-14,CUST-1445,Customer 1298,Corporate,Sabaragamuwa,Ratnapura,Home & Living,Kitchen,Blender,Tharushi Fernando,1,13104.26,0.0,13104.26,1483.73,Bank Transfer,2024,1,January,2024-01,Q1,0.11322501232423654,0.0,Medium
ORD-10055,2024-08-29,CUST-1406,Customer 1118,Small Business,Sabaragamuwa,Ratnapura,Fashion,Women,Ladies Watch,Ishara Madushan,4,14904.58,0.05,56637.39,5924.47,Bank Transfer,2024,8,August,2024-08,Q3,0.10460351368592374,2980.916,High
ORD-10056,2024-12-11,CUST-1208,Customer 1049,Consumer,Western,Colombo,Fashion,Men,Running Shoes,Nimal Perera,5,4762.35,0.05,22621.18,5175.01,Digital Wallet,2024,12,December,2024-12,Q4,0.228768348954387,1190.5875,Medium
ORD-10057,2025-07-18,CUST-1439,Customer 1242,Corporate,Southern,Hambantota,Fashion,Women,Handbag,Ishara Madushan,2,13496.9,0.1,24294.41,5525.29,Card,2025,7,July,2025-07,Q3,0.22743050767645726,2699.38,Medium
ORD-10058,2024-12-05,CUST-1160,Customer 1011,Corporate,Southern,Galle,Groceries,Beverages,Coffee Jar,Dilan Jayasinghe,5,1279.51,0.0,6397.57,380.79,Cash,2024,12,December,2024-12,Q4,0.05952103689369558,0.0,Low
ORD-10059,2024-04-01,CUST-1042,Customer 1374,Small Business,North Western,Puttalam,Fashion,Kids,Kids T-Shirt,Tharushi Fernando,2,2182.04,0.0,4364.08,804.37,Bank Transfer,2024,4,April,2024-04,Q2,0.18431605286795844,0.0,Low
ORD-10060,2025-01-01,CUST-1167,Customer 1109,Small Business,North Western,Puttalam,Fashion,Women,Sandals,Kasun Silva,5,17853.1,0.0,89265.5,19300.9,Card,2025,1,January,2025-01,Q1,0.2162190319888423,0.0,High
ORD-10061,2025-03-30,CUST-1269,Customer 1049,Small Business,Northern,Vavuniya,Groceries,Household,Dish Wash,Ishara Madushan,6,2155.64,0.05,12287.16,1608.35,Bank Transfer,2025,3,March,2025-03,Q1,0.13089680609677093,646.692,Medium
ORD-10062,2025-03-03,CUST-1381,Customer 1058,Consumer,Northern,Vavuniya,Electronics,Laptops,Dell Inspiron,Dilan Jayasinghe,4,26063.41,0.15,88615.6,17889.25,Bank Transfer,2025,3,March,2025-03,Q1,0.20187472634615122,15638.045999999998,High
ORD-10063,2025-05-23,CUST-1150,Customer 1300,Small Business,Northern,Kilinochchi,Groceries,Household,Dish Wash,Dilan Jayasinghe,3,1973.99,0.2,4737.56,781.01,Card,2025,5,May,2025-05,Q2,0.16485490421229493,1184.394,Low
ORD-10064,2024-02-04,CUST-1400,Customer 1012,Consumer,North Western,Kurunegala,Fashion,Kids,Backpack,Kasun Silva,2,12792.08,0.05,24304.96,2023.48,Bank Transfer,2024,2,February,2024-02,Q1,0.08325378852711546,1279.208,Medium
ORD-10065,2024-07-24,CUST-1360,Customer 1248,Consumer,Central,Kandy,Home & Living,Kitchen,Rice Cooker,Dilan Jayasinghe,1,83461.38,0.0,83461.38,24497.18,Cash,2024,7,July,2024-07,Q3,0.2935151563513567,0.0,High
ORD-10066,2024-03-21,CUST-1038,Customer 1226,Corporate,Northern,Kilinochchi,Home & Living,Appliances,Water Heater,Dilan Jayasinghe,4,58067.79,0.1,209044.05,51402.16,Card,2024,3,March,2024-03,Q1,0.2458915238199796,23227.116,Premium
ORD-10067,2025-07-15,CUST-1331,Customer 1323,Consumer,Central,Nuwara Eliya,Electronics,Mobile Phones,Nokia G42,Kasun Silva,5,19521.36,0.0,97606.8,25766.11,Digital Wallet,2025,7,July,2025-07,Q3,0.26397863673432587,0.0,High
ORD-10068,2025-01-22,CUST-1244,Customer 1012,Consumer,Western,Kalutara,Home & Living,Kitchen,Air Fryer,Dilan Jayasinghe,4,80275.74,0.1,288992.65,53101.3,Bank Transfer,2025,1,January,2025-01,Q1,0.18374619562123812,32110.296000000002,Premium
ORD-10069,2024-01-02,CUST-1007,Customer 1436,Consumer,Sabaragamuwa,Kegalle,Groceries,Household,Floor Cleaner,Sachini Perera,7,3452.94,0.05,22962.07,5351.58,Digital Wallet,2024,1,January,2024-01,Q1,0.23306174051381257,1208.5290000000002,Medium
ORD-10070,2025-01-24,CUST-1025,Customer 1281,Small Business,Northern,Kilinochchi,Home & Living,Appliances,Iron,Dilan Jayasinghe,6,36044.37,0.0,216266.25,58174.62,Card,2025,1,January,2025-01,Q1,0.2689953702900938,0.0,Premium
ORD-10071,2025-07-19,CUST-1425,Customer 1390,Consumer,Southern,Matara,Electronics,Accessories,USB-C Hub,Tharushi Fernando,5,191299.01,0.1,860845.56,84674.37,Bank Transfer,2025,7,July,2025-07,Q3,0.09836185947221472,95649.505,Premium
ORD-10072,2024-04-15,CUST-1128,Customer 1096,Consumer,Southern,Hambantota,Electronics,Mobile Phones,Redmi Note 13,Dilan Jayasinghe,1,150591.83,0.0,150591.83,10017.89,Card,2024,4,April,2024-04,Q2,0.06652346279343309,0.0,Premium
ORD-10073,2025-04-21,CUST-1060,Customer 1151,Corporate,North Western,Kurunegala,Electronics,Laptops,ASUS VivoBook,Ishara Madushan,4,76857.76,0.1,276687.92,28428.27,Digital Wallet,2025,4,April,2025-04,Q2,0.1027448903443273,30743.104,Premium
ORD-10074,2025-12-03,CUST-1083,Customer 1393,Small Business,Northern,Jaffna,Home & Living,Furniture,Coffee Table,Sachini Perera,3,49284.17,0.05,140459.88,31063.53,Cash,2025,12,December,2025-12,Q4,0.22115589163254304,7392.625500000001,High
ORD-10075,2025-02-05,CUST-1040,Customer 1273,Corporate,Sabaragamuwa,Kegalle,Groceries,Beverages,Fruit Juice,Dilan Jayasinghe,3,1094.39,0.1,2954.85,563.32,Digital Wallet,2025,2,February,2025-02,Q1,0.19064250300353658,328.317,Low
ORD-10076,2025-12-30,CUST-1062,Customer 1256,Corporate,Eastern,Ampara,Home & Living,Furniture,Study Desk,Dilan Jayasinghe,5,28112.8,0.05,133535.79,9787.12,Digital Wallet,2025,12,December,2025-12,Q4,0.07329211142570842,7028.200000000001,High
ORD-10077,2025-07-09,CUST-1062,Customer 1219,Small Business,Western,Gampaha,Fashion,Kids,Kids Shorts,Kasun Silva,5,9291.47,0.05,44134.46,12450.23,Digital Wallet,2025,7,July,2025-07,Q3,0.28209770777755067,2322.8675,Medium
ORD-10078,2024-06-10,CUST-1242,Customer 1213,Consumer,Central,Nuwara Eliya,Electronics,Laptops,Lenovo IdeaPad,Sachini Perera,5,15991.99,0.05,75961.97,9636.5,Digital Wallet,2024,6,June,2024-06,Q2,0.12685953247394716,3997.9975,High
ORD-10079,2024-07-20,CUST-1183,Customer 1117,Corporate,Central,Matale,Home & Living,Kitchen,Electric Kettle,Tharushi Fernando,5,81685.28,0.05,388005.1,56721.97,Card,2024,7,July,2024-07,Q3,0.14618872277709752,20421.320000000003,Premium
ORD-10080,2024-09-26,CUST-1042,Customer 1021,Corporate,Northern,Kilinochchi,Fashion,Women,Sandals,Tharushi Fernando,2,5290.43,0.15,8993.73,1625.3,Cash,2024,9,September,2024-09,Q3,0.180714786857066,1587.1290000000001,Low
ORD-10081,2024-09-27,CUST-1010,Customer 1242,Small Business,Northern,Jaffna,Electronics,Laptops,HP Pavilion,Nimal Perera,2,197553.62,0.1,355596.51,48360.68,Cash,2024,9,September,2024-09,Q3,0.13599874756926045,39510.724,Premium
ORD-10082,2025-03-31,CUST-1401,Customer 1444,Small Business,Sabaragamuwa,Ratnapura,Home & Living,Kitchen,Rice Cooker,Kasun Silva,2,67055.97,0.05,127406.35,21652.55,Card,2025,3,March,2025-03,Q1,0.16994875059210154,6705.597000000001,High
ORD-10083,2025-04-06,CUST-1043,Customer 1385,Corporate,Central,Matale,Electronics,Accessories,Mechanical Keyboard,Sachini Perera,7,119828.87,0.1,754921.87,64754.45,Bank Transfer,2025,4,April,2025-04,Q2,0.08577635987681745,83880.209,Premium
ORD-10084,2025-12-27,CUST-1436,Customer 1399,Consumer,Sabaragamuwa,Kegalle,Home & Living,Appliances,Standing Fan,Tharushi Fernando,5,11640.14,0.05,55290.65,7849.33,Cash,2025,12,December,2025-12,Q4,0.14196487109484152,2910.035,High
ORD-10085,2024-09-08,CUST-1038,Customer 1111,Corporate,Eastern,Batticaloa,Fashion,Kids,Kids Shorts,Sachini Perera,3,4125.04,0.1,11137.6,2645.85,Card,2024,9,September,2024-09,Q3,0.2375601565866973,1237.512,Medium
ORD-10086,2025-12-02,CUST-1324,Customer 1078,Small Business,Western,Kalutara,Home & Living,Kitchen,Electric Kettle,Ishara Madushan,4,67163.76,0.1,241789.55,17427.6,Cash,2025,12,December,2025-12,Q4,0.0720775567016854,26865.504,Premium
ORD-10087,2024-10-22,CUST-1374,Customer 1269,Small Business,Sabaragamuwa,Ratnapura,Fashion,Kids,Kids Shorts,Tharushi Fernando,1,1904.78,0.1,1714.3,180.38,Cash,2024,10,October,2024-10,Q4,0.10522078982675144,190.478,Low
ORD-10088,2025-12-25,CUST-1153,Customer 1315,Corporate,Eastern,Ampara,Fashion,Men,Leather Belt,Nimal Perera,5,11557.2,0.0,57785.98,4648.1,Digital Wallet,2025,12,December,2025-12,Q4,0.08043646573096104,0.0,High
ORD-10089,2025-12-20,CUST-1376,Customer 1405,Corporate,Southern,Hambantota,Groceries,Household,Dish Wash,Kasun Silva,6,1393.29,0.0,8359.74,735.38,Bank Transfer,2025,12,December,2025-12,Q4,0.0879668506436803,0.0,Low
ORD-10090,2024-12-03,CUST-1126,Customer 1392,Small Business,Eastern,Ampara,Groceries,Snacks,Mixed Nuts,Ishara Madushan,3,1477.55,0.05,4211.02,888.92,Bank Transfer,2024,12,December,2024-12,Q4,0.21109374925789948,221.6325,Low
ORD-10091,2024-02-22,CUST-1285,Customer 1269,Consumer,Southern,Galle,Electronics,Laptops,ASUS VivoBook,Dilan Jayasinghe,6,163526.06,0.05,932098.55,241536.39,Digital Wallet,2024,2,February,2024-02,Q1,0.2591318160509959,49057.818,Premium
ORD-10092,2024-08-04,CUST-1278,Customer 1171,Corporate,Southern,Galle,Groceries,Snacks,Chocolate,Kasun Silva,2,4834.37,0.05,9185.3,913.51,Bank Transfer,2024,8,August,2024-08,Q3,0.09945347457350333,483.437,Low
ORD-10093,2024-07-06,CUST-1128,Customer 1229,Small Business,Sabaragamuwa,Kegalle,Fashion,Women,Sandals,Nimal Perera,5,6198.81,0.1,27894.66,6881.04,Card,2024,7,July,2024-07,Q3,0.24667947198496057,3099.4050000000007,Medium
ORD-10094,2025-01-14,CUST-1320,Customer 1362,Small Business,Western,Colombo,Groceries,Snacks,Chocolate,Dilan Jayasinghe,7,3773.13,0.15,22450.14,2994.41,Digital Wallet,2025,1,January,2025-01,Q1,0.1333804599882228,3961.7864999999997,Medium
ORD-10095,2025-05-07,CUST-1420,Customer 1086,Corporate,Northern,Jaffna,Electronics,Laptops,HP Pavilion,Sachini Perera,2,54439.41,0.0,108878.82,13809.42,Card,2025,5,May,2025-05,Q2,0.12683293224522454,0.0,High
ORD-10096,2024-02-10,CUST-1243,Customer 1223,Corporate,Southern,Hambantota,Fashion,Women,Sandals,Sachini Perera,2,13728.33,0.2,21965.32,3248.01,Bank Transfer,2024,2,February,2024-02,Q1,0.14786991493863966,5491.332,Medium
ORD-10097,2024-06-05,CUST-1154,Customer 1293,Corporate,Southern,Hambantota,Groceries,Snacks,Potato Chips,Kasun Silva,7,2080.54,0.1,13107.37,3185.09,Cash,2024,6,June,2024-06,Q2,0.2429999305734102,1456.378,Medium
ORD-10098,2024-01-15,CUST-1119,Customer 1071,Consumer,North Western,Kurunegala,Fashion,Men,Denim Jeans,Kasun Silva,6,1254.07,0.05,7148.18,1794.22,Digital Wallet,2024,1,January,2024-01,Q1,0.2510037520040066,376.221,Low
ORD-10099,2024-03-05,CUST-1158,Customer 1082,Corporate,Southern,Hambantota,Fashion,Men,Denim Jeans,Kasun Silva,4,2949.51,0.1,10618.23,766.14,Bank Transfer,2024,3,March,2024-03,Q1,0.0721532684826002,1179.804,Medium
ORD-10100,2025-06-04,CUST-1117,Customer 1415,Corporate,Central,Matale,Electronics,Accessories,Mechanical Keyboard,Nimal Perera,3,68122.71,0.0,204368.13,24960.82,Cash,2025,6,June,2025-06,Q2,0.12213655818057345,0.0,Premium
ORD-10101,2024-12-09,CUST-1251,Customer 1251,Consumer,Eastern,Trincomalee,Home & Living,Appliances,Water Heater,Nimal Perera,4,39096.32,0.05,148566.01,13470.13,Bank Transfer,2024,12,December,2024-12,Q4,0.0906676432920289,7819.264,High
ORD-10102,2024-05-08,CUST-1198,Customer 1047,Consumer,Northern,Kilinochchi,Groceries,Snacks,Chocolate,Tharushi Fernando,7,2250.93,0.1,14180.85,3518.41,Digital Wallet,2024,5,May,2024-05,Q2,0.24810995109602033,1575.6509999999998,Medium
ORD-10103,2025-10-09,CUST-1107,Customer 1113,Small Business,Western,Colombo,Groceries,Snacks,Biscuits,Sachini Perera,6,1213.95,0.1,6555.32,1893.9,Cash,2025,10,October,2025-10,Q4,0.28891038118657825,728.3700000000001,Low
ORD-10104,2025-04-16,CUST-1069,Customer 1349,Consumer,Central,Kandy,Fashion,Men,Denim Jeans,Ishara Madushan,6,9903.72,0.15,50508.99,6053.96,Digital Wallet,2025,4,April,2025-04,Q2,0.1198590587536991,8913.347999999998,High
ORD-10105,2024-03-03,CUST-1419,Customer 1129,Corporate,Eastern,Ampara,Home & Living,Appliances,Water Heater,Dilan Jayasinghe,5,38684.79,0.1,174081.57,9541.19,Bank Transfer,2024,3,March,2024-03,Q1,0.054808731332099084,19342.395,Premium
